"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"7272",3.43677303097181e-81,-0.664769922143492,0.409,0.684,3.10271869236135e-77
"7422",3.82148387944877e-81,-0.582668316505232,0.166,0.485,3.45003564636635e-77
"3623",5.07881071292043e-81,0.529164676287635,0.59,0.178,4.58515031162456e-77
"518",5.57408120211226e-81,0.549473796957466,0.622,0.208,5.03228050926695e-77
"5224",5.76638515485897e-81,0.578927283698746,0.734,0.329,5.20589251780668e-77
"4949",5.95316464052897e-81,-0.523824409373787,0.046,0.34,5.37451703746955e-77
"1542",6.61695885916921e-81,0.443670268440133,0.613,0.199,5.97379045805797e-77
"5527",6.88495341161857e-81,-0.587508312367361,0.102,0.403,6.21573594000924e-77
"5002",8.39097989459483e-81,0.582386712754735,0.556,0.152,7.57537664884021e-77
"3215",1.09819243861107e-80,0.515883869878981,0.994,0.868,9.91448133578078e-77
"7220",1.11939444377637e-80,-0.630125822657921,0.204,0.525,1.0105893038413e-76
"8167",1.14354066665517e-80,-0.598544856980495,1,0.989,1.03238851385629e-76
"563",1.4040928407294e-80,-0.63714037817357,0.225,0.552,1.2676150166105e-76
"5025",1.50836068883475e-80,0.574026823408982,0.936,0.674,1.36174802988001e-76
"1528",1.60581414340123e-80,-0.52461631588211,0.052,0.353,1.44972900866263e-76
"6502",1.80952143273445e-80,-0.576986648844907,0.282,0.581,1.63363594947266e-76
"8135",1.91031095849441e-80,-0.583940282840498,0.828,0.883,1.72462873332876e-76
"4779",2.35932981756902e-80,0.518002134207618,0.592,0.184,2.13000295930131e-76
"2860",2.50464000670413e-80,0.446396479675686,0.48,0.094,2.26118899805249e-76
"904",2.66664498196045e-80,0.525077784623126,0.55,0.143,2.4074470897139e-76
"8824",2.92864908398728e-80,-0.657126139334193,0.399,0.635,2.64398439302371e-76
"1785",3.19942375107145e-80,-0.493494347983324,0.004,0.226,2.8884397624673e-76
"4198",3.31087488265095e-80,-0.439835824269146,0.039,0.329,2.98905784405727e-76
"8272",3.37396678714711e-80,-0.477606347103194,0.068,0.379,3.04601721543641e-76
"7797",3.96025836761023e-80,-0.675423153087053,0.145,0.447,3.57532125427851e-76
"8997",4.18778579818092e-80,-0.967114093796403,0.711,0.816,3.78073301859774e-76
"4122",7.58091927243276e-80,-0.652276052764506,0.301,0.594,6.8440539191523e-76
"3887",8.47093705037726e-80,-0.581519340236261,0.397,0.645,7.64756196908059e-76
"379",8.60713716914368e-80,-0.794028059430938,0.185,0.506,7.77052343630292e-76
"1654",9.86090358465064e-80,-0.704810549170303,0.487,0.68,8.90242375622259e-76
"1098",1.00853899392689e-79,0.410238674986696,0.396,0.048,9.105090037172e-76
"3840",1.24229103052404e-79,-0.617750054965826,0.281,0.588,1.1215403423571e-75
"7030",1.35293147861576e-79,-0.583940040835582,0.079,0.376,1.22142653889431e-75
"6207",1.36000832791101e-79,-0.586820061935794,0.287,0.588,1.22781551843806e-75
"6467",1.45590147991243e-79,-0.569098828140727,0.166,0.504,1.31438785606494e-75
"4859",1.73090091777919e-79,-0.615930821387221,0.609,0.794,1.56265734857105e-75
"8350",1.79175756220182e-79,-0.59290427232804,0.19,0.499,1.6175987271558e-75
"3423",2.08792719797817e-79,0.413793032387792,0.424,0.063,1.88498067433469e-75
"7764",2.24119908523478e-79,-0.579089422219269,0.058,0.351,2.02335453414996e-75
"5040",2.35817860352043e-79,0.542902083601715,0.615,0.204,2.12896364325824e-75
